device_id,user_id,timestamp,sensor_type,sensor_value,battery_level,signal_strength,firmware_version,location_lat,location_lon,metadata,received_at
esp32-001,user1,2024-02-14 19:50:00,pressure,75.5,85.2,-70,1.2.3,,,"{""temperature"": 36.6, ""activity"": ""walking""}",2024-02-14 19:50:05
esp32-001,user1,2024-02-14 19:51:00,pressure,82.3,84.8,-68,1.2.3,,,"{""temperature"": 36.7, ""activity"": ""walking""}",2024-02-14 19:51:05
esp32-001,user1,2024-02-14 19:52:00,pressure,45.1,84.3,-72,1.2.3,,,"{""temperature"": 36.5, ""activity"": ""sitting""}",2024-02-14 19:52:05
esp32-002,user2,2024-02-14 20:15:00,pressure,68.9,92.1,-65,1.3.0,,,"{""temperature"": 36.8, ""activity"": ""standing""}",2024-02-14 20:15:05
esp32-002,user2,2024-02-14 20:16:00,pressure,91.2,91.5,-63,1.3.0,,,"{""temperature"": 36.9, ""activity"": ""walking""}",2024-02-14 20:16:05
esp32-003,prothetic1,2024-02-14 18:30:00,pressure,55.7,78.3,-75,1.1.8,,,"{""temperature"": 36.4, ""activity"": ""sitting""}",2024-02-14 18:30:05
esp32-003,prothetic1,2024-02-14 18:31:00,pressure,88.9,77.8,-77,1.1.8,,,"{""temperature"": 36.3, ""activity"": ""walking""}",2024-02-14 18:31:05
esp32-004,prothetic2,2024-02-14 21:45:00,pressure,72.4,88.9,-69,1.2.5,,,"{""temperature"": 36.7, ""activity"": ""standing""}",2024-02-14 21:45:05
esp32-005,prothetic3,2024-02-14 17:20:00,pressure,63.8,95.2,-60,1.3.1,,,"{""temperature"": 36.6, ""activity"": ""walking""}",2024-02-14 17:20:05
esp32-005,prothetic3,2024-02-14 17:21:00,pressure,79.1,94.7,-62,1.3.1,,,"{""temperature"": 36.7, ""activity"": ""walking""}",2024-02-14 17:21:05
esp32-001,user1,2024-02-14 19:53:00,battery,85.0,84.1,-71,1.2.3,,,"{""voltage"": 3.7, ""current"": 120}",2024-02-14 19:53:05
esp32-002,user2,2024-02-14 20:17:00,battery,92.0,91.2,-64,1.3.0,,,"{""voltage"": 3.8, ""current"": 95}",2024-02-14 20:17:05
esp32-001,user1,2024-02-14 19:54:00,temperature,36.6,83.9,-73,1.2.3,,,"{""environment"": 22.5}",2024-02-14 19:54:05
esp32-002,user2,2024-02-14 20:18:00,temperature,36.9,90.8,-66,1.3.0,,,"{""environment"": 23.1}",2024-02-14 20:18:05
